[ 2013-09-16T15:52:15+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.009189s ]
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.009313s ]
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003231s ]
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.137168s ]
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.140593s ]
[ 2013-09-16T15:52:15+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T15:52:15+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-16T15:52:15+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000081s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000166s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000064s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.000453s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000576s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.000157s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000200s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_template ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run LocationTemplate Behavior [ RunTime:0.002456s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.002498s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_parse ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run ParseTemplate Behavior [ RunTime:0.079455s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.079514s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_filter ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run ContentReplace Behavior [ RunTime:0.001625s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run TokenBuild Behavior [ RunTime:0.001588s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.219143s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run ShowRuntime Behavior [ RunTime:0.003050s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.225609s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_end ] --START--
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.003001s ]
[ 2013-09-16T15:52:15+08:00 ] /User/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.003090s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ route_check ] --START--
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Run CheckRoute Behavior [ RunTime:0.000496s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000551s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000274s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Run CheckLang Behavior [ RunTime:0.002066s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002423s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Run Login Behavior [ RunTime:0.001011s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | INFO: Tag[ action_begin ] --END-- [ RunTime:0.001046s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | SQL: SHOW COLUMNS FROM `user` [ RunTime:0.018365s ]
[ 2013-09-16T15:52:19+08:00 ] /User/login | SQL: SELECT * FROM `user` WHERE name='elex' and password='93725b9fc52918f65c42dd16492d7d98' LIMIT 1   [ RunTime:0.000506s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000116s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000195s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000077s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.000644s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000822s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run Login Behavior [ RunTime:0.000233s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000283s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000519s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000577s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_parse ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: selectProductName 948b69b7e74262b0af4cc87e8ce85c98.php 第 79 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 83 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 84 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 85 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 87 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 88 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 89 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 90 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 91 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 92 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 94 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 95 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 96 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 97 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 98 行.
[ 2013-09-16T15:52:19+08:00 ] / | NOTIC: [8] Undefined variable: Think 948b69b7e74262b0af4cc87e8ce85c98.php 第 99 行.
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run ParseTemplate Behavior [ RunTime:0.016008s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016049s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_filter ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run ContentReplace Behavior [ RunTime:0.000372s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run TokenBuild Behavior [ RunTime:0.000367s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000290s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000304s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001422s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000282s ]
[ 2013-09-16T15:52:19+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000312s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ route_check ] --START--
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Run CheckRoute Behavior [ RunTime:0.000400s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ route_check ] --END-- [ RunTime:0.000448s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000242s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Run CheckLang Behavior [ RunTime:0.001585s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001870s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ action_begin ] --START--
[ 2013-09-16T19:26:20+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 22 行.
[ 2013-09-16T19:26:20+08:00 ] / | NOTIC: [8] Undefined index: _URL_ LoginBehavior.class.php 第 23 行.
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Run Login Behavior [ RunTime:0.000886s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ action_begin ] --END-- [ RunTime:0.000917s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ view_template ] --START--
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Run LocationTemplate Behavior [ RunTime:0.000234s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ view_template ] --END-- [ RunTime:0.000263s ]
[ 2013-09-16T19:26:20+08:00 ] / | INFO: Tag[ view_parse ] --START--
