[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ route_check ] --START--
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run CheckRoute Behavior [ RunTime:0.000885s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ route_check ] --END-- [ RunTime:0.001014s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ app_begin ] --START--
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000489s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run CheckLang Behavior [ RunTime:0.003293s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003872s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ action_begin ] --START--
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [8] Undefined offset: 1 LoginBehavior.class.php 第 23 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Run Login Behavior [ RunTime:0.002030s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | INFO: Tag[ action_begin ] --END-- [ RunTime:0.002105s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | SQL: SELECT * FROM `stat` WHERE start_time between '2013-09-10 00:00:00' and '2013-09-10 23:59:59' and time_step='ten_minute' ORDER BY type asc,pop_id asc  [ RunTime:0.020378s ]
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [8] Undefined variable: view_total StatAction.class.php 第 33 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
[ 2013-09-10T14:47:15+08:00 ] /Stat/?start=2013-09-10+00%3A00%3A00&end=2013-09-10+23%3A59%3A59&time_step=ten_minute&__hash__=83d97192e8b1664c658eb718c0298eb0_3e0cb4e08f99b6c21c679f9e4aa19e98 | NOTIC: [2] Division by zero StatAction.class.php 第 57 行.
